"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984972","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CAPITAN PEREZ","L","LEGAL","PLAZA","1416","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1984973","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO PRO CONTACTO 3 SERVICIOS ARGENTINA","L","LEGAL","ALVAREZ JONTE AV.","2133","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984975","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ELECTRO DESING","L","LEGAL","FERNANDEZ","242","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1984976","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PHILOMENA","L","LEGAL","HUMBOLDT","2344","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984978","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SISA LAB INSUMOS","L","LEGAL","PAGOLA CNEL","4224","CAPITAL FEDERAL","CAPITAL FEDERAL","1437"
"1984979","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MEGA PETS","L","LEGAL","RODRIGUEZ PENA","336","CAPITAL FEDERAL","CAPITAL FEDERAL","1020"
"1984980","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CENTRAL FLORES","L","LEGAL","HELGUERA","235","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984981","50","SOC. ANONIMA","SUTELL","L","LEGAL","MORENO","952","CAPITAL FEDERAL","CAPITAL FEDERAL","1091"
"1984982","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HIZOR","L","LEGAL","GUATEMALA","4845","CAPITAL FEDERAL","",""
"1984983","50","SOC. ANONIMA","ARENA POWER","L","LEGAL","TUCUMAN","715","CAPITAL FEDERAL","CAPITAL FEDERAL","1049"
"1984984","50","SOC. ANONIMA","PICHE RESOURCES","L","LEGAL","LIBERTADOR DEL AV.","498","CAPITAL FEDERAL","CAPITAL FEDERAL","1001"
"1984985","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MARMOOD","L","LEGAL","IRLANDA","1740","CAPITAL FEDERAL","",""
"1984986","50","SOC. ANONIMA","UNITED RENTAL","L","LEGAL","VIAMONTE","1592","CAPITAL FEDERAL","",""
"1984987","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NATSUMI","L","LEGAL","NOGOYA","3218","CAPITAL FEDERAL","CAPITAL FEDERAL","1417"
"1984988","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TEINAS TEX","L","LEGAL","SANTA FE OFICINA 1405/1406","1780","CAPITAL FEDERAL","",""
"1984989","50","SOC. ANONIMA","SEIS CINCO OCHO","L","LEGAL","25 DE MAYO","347","CAPITAL FEDERAL","",""
"1984990","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","INSTITUTO DE INVESTIGACION CLINICA TYT","L","LEGAL","ACOYTE","76","CAPITAL FEDERAL","CAPITAL FEDERAL","1405"
"1984991","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","YO AMO LOS REGALOS","L","LEGAL","NUEVA YORK","2977","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984993","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO ADW2","L","LEGAL","PEDRO MORAN","3875","CAPITAL FEDERAL","",""
"1984994","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO PARTICULAR VAIV BELGRANO","L","LEGAL","SAN MARTIN","491","CAPITAL FEDERAL","",""
"1984995","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO ADW1","L","LEGAL","PEDRO MORAN","3875","CAPITAL FEDERAL","",""
"1984996","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VOEM","L","LEGAL","AMENABAR","2343","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984997","50","SOC. ANONIMA","FONDA TERRA","L","LEGAL","PORTELA","361","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984998","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PORCINOS EL PORVENIR","L","LEGAL","RAMIREZ DE VELAZCO JUAN","356","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984999","50","SOC. ANONIMA","THE DOG FOOTPRINT","L","LEGAL","MELIAN AV.","3243","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1985003","170","UNION TRANSITORIA","FONTANA NICASTRO S.A.DE CONSTRUCCIONES - ALEMARSA S.A.C. -UT","L","LEGAL","RIO CUARTO","1400","CAPITAL FEDERAL","",""
"1985004","50","SOC. ANONIMA","MIND MARKET","L","LEGAL","BESARES","3599","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1985005","50","SOC. ANONIMA","PUERTO PAMPA","L","LEGAL","PERON, JUAN TTE.GRAL.","698","CAPITAL FEDERAL","CAPITAL FEDERAL","1038"
"1985006","50","SOC. ANONIMA","AGRUPACION UNION NORTE","L","LEGAL","PAULA Y R ALVEZ J DE","999","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1985007","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DYNAMICS IT","L","LEGAL","SALGUERO JERONIMO","363","CAPITAL FEDERAL","CAPITAL FEDERAL","1177"
"1985008","50","SOC. ANONIMA","CORPORACION AUSTRAL","L","LEGAL","PERON, JUAN TTE.GRAL.","698","CAPITAL FEDERAL","CAPITAL FEDERAL","1038"
"1985010","50","SOC. ANONIMA","JAZSER","L","LEGAL","MOREAU DE JUSTO ALICIA AV.","740","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1985011","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LATAM FEU","L","LEGAL","AV. GAONA","4394","CAPITAL FEDERAL","",""
"1985012","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","COMO HAGO CONSULTORES","L","LEGAL","MANSO JUANA","491","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1985013","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","THE ENGLISH GARDEN","L","LEGAL","BAVIO ERNESTO A","3169","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1985015","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CIBO ALIMENTOS","L","LEGAL","OLLEROS AV.","1726","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1985016","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SOLUCIONES TECNO","L","LEGAL","ESMERALDA","315","CAPITAL FEDERAL","CAPITAL FEDERAL","1035"
"1985017","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ANKAS EXPO","L","LEGAL","CORDOBA AV.","1711","CAPITAL FEDERAL","CAPITAL FEDERAL","1055"
"1985018","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WALU","L","LEGAL","GORDILLO JOSE O. CNEL.","2114","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1985019","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TAVOQUIEL","L","LEGAL","JUSTO JUAN B AV.","4744","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1985020","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MADERFAN","L","LEGAL","RECONQUISTA","642","CAPITAL FEDERAL","CAPITAL FEDERAL","1003"
"1985021","50","SOC. ANONIMA","BEER AND FOOD","L","LEGAL","FLORIDA","147","CAPITAL FEDERAL","",""
"1985022","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CANNECAFE","L","LEGAL","DIRECTORIO AV.","2517","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1985023","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO FABRIL","L","LEGAL","CIUDAD DE LA PAZ","2387","CAPITAL FEDERAL","",""
"1985024","50","SOC. ANONIMA","UNIVERSAL JUMPS FITNESS","L","LEGAL","FRANKLIN D ROOSEVELT","5814","CAPITAL FEDERAL","",""
"1985026","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CG DESARROLLOS","L","LEGAL","TUCUMAN TORRE 1","326","CAPITAL FEDERAL","",""
"1985027","50","SOC. ANONIMA","HARPROSA","L","LEGAL","AVENIDA RIVADAVIA","10173","CAPITAL FEDERAL","",""
"1985028","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALEICA","L","LEGAL","GENERAL JOSE G ARTIGAS 2021/23","2021","CAPITAL FEDERAL","",""
"1985029","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CALEGRE","L","LEGAL","BOCAYA","2238","CAPITAL FEDERAL","",""
"1985030","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MALCIEVAS","L","LEGAL","BOCAYA","2238","CAPITAL FEDERAL","",""
"1985032","50","SOC. ANONIMA","TRAMEZZINO & CO","L","LEGAL","RODO JOSE ENRIQUE","4226","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1985033","50","SOC. ANONIMA","MANGANUI","L","LEGAL","NICARAGUA","5651","CAPITAL FEDERAL","",""
"1985034","50","SOC. ANONIMA","DRULO","L","LEGAL","DORREGO AV.","2239","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1985035","50","SOC. ANONIMA","FLORIAN DESARROLLOS","L","LEGAL","AVENIDA CORDOBA","1342","CAPITAL FEDERAL","",""
"1985036","50","SOC. ANONIMA","SOL Y LUNA 2018","L","LEGAL","PARAGUAY","1225","CAPITAL FEDERAL","",""
"1985037","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPO MEDICO DEL SUR","L","LEGAL","25 DE MAYO","583","CAPITAL FEDERAL","",""
"1985038","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","JURE","L","LEGAL","CERRITO","1070","CAPITAL FEDERAL","CAPITAL FEDERAL","1010"
"1985039","50","SOC. ANONIMA","BORJA PAYMENTS","L","LEGAL","URUGUAY","634","CAPITAL FEDERAL","CAPITAL FEDERAL","1015"
"1985040","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ANICAR","L","LEGAL","ITALIA","455","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1985042","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TUCHAPA","L","LEGAL","GUIDO","1551","CAPITAL FEDERAL","",""
"1985046","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AGROINDUSTRIAL DEL NORTE E.T.L.M","L","LEGAL","MONTEVIDEO","666","CAPITAL FEDERAL","CAPITAL FEDERAL","1019"
"1985047","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","OTTO LOGISTICA","L","LEGAL","ARIAS","3167","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1985048","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LAYON FILMS","L","LEGAL","BILLINGHURST","1599","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985049","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESTUDIO KRAJCOVIC","L","LEGAL","ARENALES","1662","CAPITAL FEDERAL","CAPITAL FEDERAL","1061"
"1985050","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AGUILAS","L","LEGAL","VUELTA DE OBLIGADO","3773","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1985051","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","POSTAL MAS","L","LEGAL","SUIPACHA","1022","CAPITAL FEDERAL","CAPITAL FEDERAL","1008"
"1985052","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HOMEDOCTOR ARGENTINA","L","LEGAL","LYNCH,MARTHA","551","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1985053","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO EN GARANTIA EXPANSION PEPE III","L","LEGAL","MAIPU","1","CAPITAL FEDERAL","",""
"1985054","100","ASOCIACION CIVIL","ESPACIO CULTURAL Y SOCIAL BIEN ALTO","L","LEGAL","OLAZABAL","5557","CAPITAL FEDERAL","",""
"1985057","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TOMACAFE","L","LEGAL","PEDRAZA MANUELA","1747","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1985059","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ELAN PACK","L","LEGAL","TUCUMAN","1455","CAPITAL FEDERAL","CAPITAL FEDERAL","1050"
"1985060","50","SOC. ANONIMA","TRANSPORTE ZAVIOLA","L","LEGAL","PIEDRAS","456","CAPITAL FEDERAL","CAPITAL FEDERAL","1070"
"1985061","170","UNION TRANSITORIA","DE LOS CERROS CONSTRUCCIONES SA - PMP CONSTRUCCIONES SRL -UT","L","LEGAL","FLORIDA","835","CAPITAL FEDERAL","",""
"1985062","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","INGENEWS","L","LEGAL","MONTEVIDEO","451","CAPITAL FEDERAL","CAPITAL FEDERAL","1019"
"1985063","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MAYORISTA DE ACCESORIOS","L","LEGAL","URUGUAY","640","CAPITAL FEDERAL","CAPITAL FEDERAL","1015"
"1985064","50","SOC. ANONIMA","NESTANCE","L","LEGAL","SAN MARTIN","969","CAPITAL FEDERAL","",""
"1985066","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESTEVES E HIJO","L","LEGAL","BALBASTRO","5545","CAPITAL FEDERAL","CAPITAL FEDERAL","1439"
"1985067","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GONZALO Y MANUEL ROLDAN COMERCIO EXTERIOR","L","LEGAL","LAVALLE","362","CAPITAL FEDERAL","CAPITAL FEDERAL","1047"
"1985069","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SERVICIOS Y MANUFACTURAS PILAR","L","LEGAL","CUBA","3188","CAPITAL FEDERAL","",""
"1985071","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HYUNDAI HEAVY INDUSTRIES ARGENTINA","L","LEGAL","AZCUENAGA","1068","CAPITAL FEDERAL","CAPITAL FEDERAL","1115"
"1985072","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LARIX TOYS","L","LEGAL","NEUQUEN","827","CAPITAL FEDERAL","CAPITAL FEDERAL","1405"
"1985073","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ADMINISTRACION EDIFICIO DEL ODISEO 557 DE PINAMAR","L","LEGAL","BURELA","2148","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1985075","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","YR ENTERTAINMENT","L","LEGAL","ACHA MARIANO GRAL","2153","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1985076","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SPUTNIK VAR","L","LEGAL","RIOBAMBA","927","CAPITAL FEDERAL","CAPITAL FEDERAL","1116"
"1985077","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TEXTIL URIEL","L","LEGAL","BOGOTA","3229","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1985078","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","IBERA 3640","L","LEGAL","IBERA","3640","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1985079","50","SOC. ANONIMA","DESARROLLADORES KWC TECNOLOGIA","L","LEGAL","PELLEGRINI CARLOS","1337","CAPITAL FEDERAL","CAPITAL FEDERAL","1011"
"1985080","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SAFE DIGITAL","L","LEGAL","ALBERDI JUAN BAUTISTA AV.","6924","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1985081","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO PIRCA ONE","L","LEGAL","ALICIA MOREAU DE JUSTO","740","CAPITAL FEDERAL","",""
"1985082","50","SOC. ANONIMA","COGNITIO","L","LEGAL","CORDOBA AV.","1776","CAPITAL FEDERAL","CAPITAL FEDERAL","1055"
"1985083","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BELKRA","L","LEGAL","LAPRIDA","1898","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985085","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SMG REPUESTOS","L","LEGAL","CONDARCO","5584","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1985086","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","RTC OBRAS","L","LEGAL","AVENIDA RIVADAVIA","5126","CAPITAL FEDERAL","",""
"1985089","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO INMOBILIARIO ESTOMBA 2906 - CABA","L","LEGAL","OLAZABAL","5201","CAPITAL FEDERAL","",""
"1985091","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALFA MS CONSTRUCCIONES","L","LEGAL","RIVADAVIA AV.","1273","CAPITAL FEDERAL","CAPITAL FEDERAL","1033"
"1985093","50","SOC. ANONIMA","KODESH","L","LEGAL","LIBERTADOR DEL AV.","4408","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1985094","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CONSULTORIOS URQUIZA","L","LEGAL","MENDOZA","5110","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1985095","50","SOC. ANONIMA","LA AGUADA DESARROLLOS INMOBILIARIOS","L","LEGAL","TUCUMAN","2133","CAPITAL FEDERAL","CAPITAL FEDERAL","1050"
"1985097","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BALBINYBESARES","L","LEGAL","BESARES","4696","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1985099","50","SOC. ANONIMA","GRUPO PAZ RIVEROL","L","LEGAL","RIVADAVIA AV.","9875","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1985100","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BARISON","L","LEGAL","GURRUCHAGA","1045","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1985106","50","SOC. ANONIMA","THERFARMA","L","LEGAL","ARREGUI","6185","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1985109","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CONTENDRO","L","LEGAL","SANTA FE AV.","3954","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985111","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BRICK NEW BUILDING","L","LEGAL","MAIPU","471","CAPITAL FEDERAL","CAPITAL FEDERAL","1376"
"1985115","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ASCENSORES ELEVATION","L","LEGAL","AVENIDA RIVADAVIA","9133","CAPITAL FEDERAL","",""
"1985119","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SAN ROQUE CARNES","L","LEGAL","GUALEGUAYCHU","2937","CAPITAL FEDERAL","CAPITAL FEDERAL","1417"
"1985120","50","SOC. ANONIMA","NAPPER","L","LEGAL","MONTEVIDEO","1669","CAPITAL FEDERAL","CAPITAL FEDERAL","1021"
"1985121","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","INDOOR RACING BY MIX","L","LEGAL","DIRECTORIO AV.","1514","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1985122","50","SOC. ANONIMA","TOMBUCTU","L","LEGAL","GORRITI","5176","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1985123","50","SOC. ANONIMA","GRUPO CORAL","L","LEGAL","ALVEAR MARCELO T DE","1608","CAPITAL FEDERAL","CAPITAL FEDERAL","1060"
"1985124","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SWELL DEVELOPMENTS","L","LEGAL","AZURDUY JUANA","2956","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1985125","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AYCC","L","LEGAL","ALSINA ADOLFO","943","CAPITAL FEDERAL","CAPITAL FEDERAL","1088"
"1985126","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GAGLIANO BROTHERS","L","LEGAL","NOGOYA","3741","CAPITAL FEDERAL","CAPITAL FEDERAL","1417"
"1985127","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MESOPOTAMIA GAS","L","LEGAL","PARANA","458","CAPITAL FEDERAL","CAPITAL FEDERAL","1017"
"1985128","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CNT SERVICIOS","L","LEGAL","CAMPOS LUIS MARIA AV","146","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985129","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","NETA ARQ","L","LEGAL","USPALLATA","3126","CAPITAL FEDERAL","CAPITAL FEDERAL","1437"
"1985130","50","SOC. ANONIMA","CONSTRUCCIONES CS","L","LEGAL","CAMPOS LUIS MARIA AV","304","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1985131","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALENA AGRITECH","L","LEGAL","AUSTRIA","2258","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985134","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TIGO TECH","L","LEGAL","TALCAHUANO","1018","CAPITAL FEDERAL","CAPITAL FEDERAL","1013"
"1985135","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CAFE RESTO MIRO","L","LEGAL","COLOMBRES","166","CAPITAL FEDERAL","CAPITAL FEDERAL","1177"
"1985136","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ECOVIS ASESORAMIENTO EMPRESARIAL","L","LEGAL","RAVIGNANI EMILIO DR","1350","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1985137","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","THE CARS 0 KM","L","LEGAL","GUAMINI","2375","CAPITAL FEDERAL","CAPITAL FEDERAL","1440"
"1985138","50","SOC. ANONIMA","AYCWORK","L","LEGAL","BELGRANO AV.","687","CAPITAL FEDERAL","CAPITAL FEDERAL","1092"
"1985139","50","SOC. ANONIMA","HOUSE LIVING","L","LEGAL","NAZCA AV.","2666","CAPITAL FEDERAL","CAPITAL FEDERAL","1417"
"1985140","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DIGITAL NOMAD","L","LEGAL","ARCE","939","CAPITAL FEDERAL","",""
"1985141","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","POCHITA","L","LEGAL","ZAPIOLA","1218","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1985142","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LA FILIAL CAFE","L","LEGAL","CRNEL. APOLINARIO DE FIGUEROA","928","CAPITAL FEDERAL","",""
"1985143","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LIRIOS BLANCOS CONSULTING","L","LEGAL","BUERAS PJE.","265","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1985144","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","RIO CAUQUEN","L","LEGAL","MARCOS PAZ","3655","CAPITAL FEDERAL","",""
"1985145","50","SOC. ANONIMA","SFERA GLOBAL SPORTS","L","LEGAL","25 DE MAYO","330","CAPITAL FEDERAL","",""
"1985146","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CONSTRUCCIONES WAVI","L","LEGAL","GARAY JUAN DE AV.","385","CAPITAL FEDERAL","CAPITAL FEDERAL","1153"
"1985147","50","SOC. ANONIMA","CRIA GENETEC","L","LEGAL","SANTA FE AV.","1339","CAPITAL FEDERAL","CAPITAL FEDERAL","1059"
"1985148","50","SOC. ANONIMA","HAMORE","L","LEGAL"," AVENIDA SANTA FE","2205","CAPITAL FEDERAL","",""
"1985149","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BAIRES SHOP","L","LEGAL","PASTEUR","277","CAPITAL FEDERAL","",""
"1985150","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KSK 2000","L","LEGAL","LAVALLE","750","CAPITAL FEDERAL","",""
"1985151","50","SOC. ANONIMA","COATING COLORS","L","LEGAL","ALEM LEANDRO N AV.","668","CAPITAL FEDERAL","CAPITAL FEDERAL","1001"
"1985156","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DESANI","L","LEGAL","VIRREY DEL PINO","2458","CAPITAL FEDERAL","",""
"1985160","50","SOC. ANONIMA","RABRUAL","L","LEGAL","RODRIGUEZ PE¥A","486","CAPITAL FEDERAL","",""
"1985161","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","IT CONSULTING SERV.","L","LEGAL","DEL CARRIL SALVADOR M. AV","4961","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1985162","50","SOC. ANONIMA","SGXSIEMPRE","L","LEGAL","AVENIDA REGIMIENTO DE PATRICIOS","1601","CAPITAL FEDERAL","",""
"1985169","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CLD","L","LEGAL","CACHIMAYO","11","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1985170","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","URCLO","L","LEGAL","GUIDO","1624","CAPITAL FEDERAL","",""
"1985173","50","SOC. ANONIMA","MRBOHO","L","LEGAL","CALLAO AV.","322","CAPITAL FEDERAL","CAPITAL FEDERAL","1022"
"1985174","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESCOLASTICA","L","LEGAL","LIBERTADOR DEL AV.","8520","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1985176","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ANDORRA COMERCIALIZACION Y MARKETING","L","LEGAL","LIBERTADOR DEL AV.","6255","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1985177","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","BLACKBEAVER","L","LEGAL","JUEZ TEDIN","3198","CAPITAL FEDERAL","",""
"1985180","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CAFE DEL VIAJERO","L","LEGAL","MEDRANO PEDRO AV.","1659","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985182","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DRM PRODUCCIONES","L","LEGAL","ROSARIO VERA PE¥ALOZA ED.ONIX SECTOR C","599","CAPITAL FEDERAL","",""
"1985183","50","SOC. ANONIMA","AGRICOLA LA FRONTERA","L","LEGAL","URUGUAY","1186","CAPITAL FEDERAL","CAPITAL FEDERAL","1016"
"1985184","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESPACIO ARENAL","L","LEGAL","GUEVARA","458","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1985185","50","SOC. ANONIMA","DEHUAI GEO SUDAMERICANA","L","LEGAL","PEDERNERA","65","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1985186","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KUSHI","L","LEGAL","PASTEUR","201","CAPITAL FEDERAL","CAPITAL FEDERAL","1028"
"1985187","50","SOC. ANONIMA","RUFGAL","L","LEGAL","NEWBERY JORGE","1773","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1985188","50","SOC. ANONIMA","GERENCIADORA DE EVENTOS","L","LEGAL","SOLER","4929","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1985189","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SUSHI GASTRONOMIA HUDSON","L","LEGAL","MINONES","2177","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1985190","50","SOC. ANONIMA","STRATEGIC MINDS ARGENTINA","L","LEGAL","VUELTA DE OBLIGADO","1878","CAPITAL FEDERAL","",""
