"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984652","50","SOC. ANONIMA","J&C CONSTRUCTORA","L","LEGAL","GAONA AV.","2634","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984653","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","YAKUO","L","LEGAL","CAMPILLO","3090","CAPITAL FEDERAL","CAPITAL FEDERAL","1427"
"1984654","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PHARMA NOZ","L","LEGAL","BACACAY","4715","CAPITAL FEDERAL","CAPITAL FEDERAL","1407"
"1984655","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SUMANDO","L","LEGAL","VIRREY LORETO","3486","CAPITAL FEDERAL","",""
"1984656","50","SOC. ANONIMA","ENERCLISE","L","LEGAL","TERRADA","1870","CAPITAL FEDERAL","",""
"1984657","50","SOC. ANONIMA","URBAN CARS","L","LEGAL","ALBERTI","2195","CAPITAL FEDERAL","",""
"1984658","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LA COLONIA DE COSME","L","LEGAL","ARAOZ","1599","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984659","50","SOC. ANONIMA","ELAWOOD","L","LEGAL","MONROE","4539","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984660","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VIER TECH","L","LEGAL","SAN JUAN AV.","1888","CAPITAL FEDERAL","CAPITAL FEDERAL","1232"
"1984661","50","SOC. ANONIMA","EMILUI","L","LEGAL","JEAN JAURES","889","CAPITAL FEDERAL","",""
"1984662","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","P1618","L","LEGAL","VEGA NICETO CNEL","5863","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984663","50","SOC. ANONIMA","MLFHOME","L","LEGAL","AVENIDA SCALABRINI ORTIZ","699","CAPITAL FEDERAL","",""
"1984664","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WEMBLY HNOS","L","LEGAL","AV DOCTOR RICARDO BALBIN","3727","CAPITAL FEDERAL","",""
"1984665","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MI PEGATINA","L","LEGAL","MONTIEL","5078","CAPITAL FEDERAL","",""
"1984666","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GN ATELIER DE AROMAS","L","LEGAL","DEL PINO VIRREY","2262","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
