"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","fecha_balance","fecha_presentacion","capital_informado"
"1939328","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","AIRELUZ","20211231","20220930","407100000,00"
"1939328","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","AIRELUZ","20201231","20211101","230600000,00"
"1939328","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","AIRELUZ","20191231","20211018","230600000,00"
"1939348","105","ENTIDAD EXTRANJERA SIN FINES DE LUCRO","MCKINSEY.ORG, INC.","20211231","20220819","0,00"
"1939348","105","ENTIDAD EXTRANJERA SIN FINES DE LUCRO","MCKINSEY.ORG, INC.","20201231","20210809","0,00"
"1939348","105","ENTIDAD EXTRANJERA SIN FINES DE LUCRO","MCKINSEY.ORG, INC.","20191231","20201028","0,00"
"1939402","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","HEUBACH COLORANTS ARGENTINA","20211231","20220912","92556116,00"
"1939426","50","SOC. ANONIMA","GREEN AVIATION","20201231","20210921","100000,00"
"1939426","50","SOC. ANONIMA","GREEN AVIATION","20191231","20210304","100000,00"
"1939441","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","FRANCA FILMS","20211231","20220909","100000,00"
"1939441","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","FRANCA FILMS","20201231","20220330","100000,00"
"1939441","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","FRANCA FILMS","20191231","20210203","100000,00"
"1939514","50","SOC. ANONIMA","TRIMARC","20200229","20211117","100000,00"
"1939524","50","SOC. ANONIMA","EXPANSION BUSINESS","20200630","20220928","100000,00"
"1939524","50","SOC. ANONIMA","EXPANSION BUSINESS","20210630","20220914","100000,00"
"1939524","50","SOC. ANONIMA","EXPANSION BUSINESS","20190628","20200316","100000,00"
"1939539","50","SOC. ANONIMA","EXPERIMENTAL","20211231","20230209","114004,00"
"1939554","50","SOC. ANONIMA","ANDASER","20210831","20220419","200000,00"
"1939554","50","SOC. ANONIMA","ANDASER","20200831","20210430","200000,00"
"1939554","50","SOC. ANONIMA","ANDASER","20190831","20201223","200000,00"
"1939585","80","SOCIEDAD EXTRANJERA","TV GLOBAL ENTERPRISES LTD","20211231","20221213","0,00"
"1939585","80","SOCIEDAD EXTRANJERA","TV GLOBAL ENTERPRISES LTD","20191231","20220915","0,00"
"1939585","80","SOCIEDAD EXTRANJERA","TV GLOBAL ENTERPRISES LTD","20201231","20220915","0,00"
"1939612","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","STRATESYS TECHNOLOGY SOLUTIONS ARGENTINA","20211231","20220818","25000,00"
"1939612","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","STRATESYS TECHNOLOGY SOLUTIONS ARGENTINA","20201231","20211123","25000,00"
"1939615","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GRUPO KAIROS","20201231","20221128","25000,00"
"1939617","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","VIRTUAL DREAMS FACTORY","20201231","20211105","25000,00"
"1939630","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CARMAAL","20211231","20230213","25000,00"
"1939630","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CARMAAL","20201231","20230213","25000,00"
"1939630","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CARMAAL","20191231","20230208","25000,00"
"1939640","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MIFLODER","20211231","20220516","25000,00"
"1939640","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MIFLODER","20201231","20220419","25000,00"
"1939682","50","SOC. ANONIMA","LEGAL Y FISCAL","20210531","20220906","100000,00"
"1939682","50","SOC. ANONIMA","LEGAL Y FISCAL","20200531","20210614","100000,00"
"1939682","50","SOC. ANONIMA","LEGAL Y FISCAL","20190531","20210614","100000,00"
"1939770","50","SOC. ANONIMA","AGROGANADERA DON EDUARDO","20210331","20220412","3568000,00"
"1939770","50","SOC. ANONIMA","AGROGANADERA DON EDUARDO","20200331","20220412","3568000,00"
"1939770","50","SOC. ANONIMA","AGROGANADERA DON EDUARDO","20190331","20220412","900000,00"
"1939777","50","SOC. ANONIMA","CLIMAFAN","20210430","20220830","100000,00"
"1939777","50","SOC. ANONIMA","CLIMAFAN","20200430","20201221","100000,00"
"1939787","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","DAG & ASOCIADOS","20211231","20220706","25000,00"
"1939802","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","RIASI-TEX","20211231","20221017","25000,00"
"1939802","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","RIASI-TEX","20201231","20220822","25000,00"
"1939814","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SMAD GROUP","20211231","20220829","25000,00"
"1939814","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SMAD GROUP","20201231","20210910","25000,00"
"1939841","50","SOC. ANONIMA","AGROPECUARIA LA RECOMPENSA","20210630","20220412","1665000,00"
"1939841","50","SOC. ANONIMA","AGROPECUARIA LA RECOMPENSA","20200630","20220412","1665000,00"
"1939841","50","SOC. ANONIMA","AGROPECUARIA LA RECOMPENSA","20190630","20220412","1665000,00"
"1939861","100","ASOCIACION CIVIL","SOCI ARGE DE PSIC DE LA REPROD HUMA ASIS SAPRHA ASOC CIVIL","20220831","20221128","0,00"
"1939861","100","ASOCIACION CIVIL","SOCI ARGE DE PSIC DE LA REPROD HUMA ASIS SAPRHA ASOC CIVIL","20210831","20211214","0,00"
"1939861","100","ASOCIACION CIVIL","SOCI ARGE DE PSIC DE LA REPROD HUMA ASIS SAPRHA ASOC CIVIL","20190831","20191213","0,00"
"1939904","50","SOC. ANONIMA","HIDALGO 760","20220228","20221207","100000,00"
"1939904","50","SOC. ANONIMA","HIDALGO 760","20210228","20210917","100000,00"
"1939904","50","SOC. ANONIMA","HIDALGO 760","20200228","20210915","100000,00"
"1939921","100","ASOCIACION CIVIL","CLUB ATLETICO COLUMNA VERTEBRAL DE VILLA LUGANO","20201231","20210628","0,00"
"1939921","100","ASOCIACION CIVIL","CLUB ATLETICO COLUMNA VERTEBRAL DE VILLA LUGANO","20191231","20210628","0,00"
"1939940","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","TRIUMPH ENGINEERING (ARGENTINA) ","20211231","20221013","100000,00"
"1939940","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","TRIUMPH ENGINEERING (ARGENTINA) ","20201231","20220307","100000,00"
"1939940","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","TRIUMPH ENGINEERING (ARGENTINA) ","20191231","20200827","100000,00"
"1939942","50","SOC. ANONIMA","CABAÑA MRM","20201201","20211129","500000,00"
"1939942","50","SOC. ANONIMA","CABAÑA MRM","20191201","20211117","500000,00"
"1939997","50","SOC. ANONIMA","EXXIA","20191231","20210128","100000,00"
"1940001","50","SOC. ANONIMA","FRITZ & FRUTZ","20201231","20220713","111201144,00"
"1940001","50","SOC. ANONIMA","FRITZ & FRUTZ","20191231","20220713","111201144,00"
"1940009","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WELLNESS SERVICES","20211231","20220810","186826461,00"
"1940009","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WELLNESS SERVICES","20201231","20211018","406901926,00"
"1940009","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WELLNESS SERVICES","20191231","20210519","241710000,00"
"1940017","50","SOC. ANONIMA","07 DE NOVIEMBRE","20211231","20221104","77076808,00"
"1940017","50","SOC. ANONIMA","07 DE NOVIEMBRE","20201231","20221104","32648583,00"
"1940017","50","SOC. ANONIMA","07 DE NOVIEMBRE","20191231","20221104","20227500,00"
"1940025","50","SOC. ANONIMA","DON JONAS","20200831","20211201","0,00"
"1940025","50","SOC. ANONIMA","DON JONAS","20190831","20201110","0,00"
"1940027","100","ASOCIACION CIVIL","CARDIO ITAL ASOCIACION CIVIL","20211231","20220704","0,00"
"1940027","100","ASOCIACION CIVIL","CARDIO ITAL ASOCIACION CIVIL","20201231","20220704","0,00"
"1940027","100","ASOCIACION CIVIL","CARDIO ITAL ASOCIACION CIVIL","20191231","20220629","0,00"
"1940113","120","FEDERACION","ARGENTINA DE ENTIDADES DE TRANSPORTE Y LOGISTICA (FAETYL)","20211231","20220707","0,00"
"1940113","120","FEDERACION","ARGENTINA DE ENTIDADES DE TRANSPORTE Y LOGISTICA (FAETYL)","20201231","20210907","0,00"
"1940186","100","ASOCIACION CIVIL","MESABIERTA ASOCIACION CIVIL","20201231","20210923","0,00"
"1940186","100","ASOCIACION CIVIL","MESABIERTA ASOCIACION CIVIL","20191231","20210422","0,00"
"1940196","50","SOC. ANONIMA","DEYGAL","20211231","20220809","116898639,00"
"1940196","50","SOC. ANONIMA","DEYGAL","20201231","20211129","116898639,00"
"1940196","50","SOC. ANONIMA","DEYGAL","20191231","20210714","116898639,00"
"1940227","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","AGRO-FORESTAL DEL SUR","20201231","20220901","25000,00"
"1940264","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ADVANCED STERILIZATION PRODUCTS ARGENTINA","20191231","20211221","25000,00"
"1940289","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ND ESQUIVEL","20200331","20221213","25000,00"
"1940289","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ND ESQUIVEL","20220331","20221213","25000,00"
"1940289","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ND ESQUIVEL","20210331","20221213","25000,00"
"1940293","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NEUMATICOS Y LLANTAS CATAN","20201231","20230213","25000,00"
"1940368","50","SOC. ANONIMA","GREEN DRINKS","20191231","20210513","100000,00"
"1940388","100","ASOCIACION CIVIL","PREMA SAI(AMOR DIVINO) ESCU COMP EN VALO HUMA ASOC CIVIL","20191231","20210726","0,00"
"1940389","100","ASOCIACION CIVIL","ARTISTICA HIPERMUSICA","20211130","20220317","0,00"
"1940389","100","ASOCIACION CIVIL","ARTISTICA HIPERMUSICA","20201130","20210616","0,00"
"1940434","100","ASOCIACION CIVIL","COMITE DE AYUDA A DESASTRES Y EMERGENCIAS NACIONALES ASO CIV","20201231","20220923","0,00"
"1940434","100","ASOCIACION CIVIL","COMITE DE AYUDA A DESASTRES Y EMERGENCIAS NACIONALES ASO CIV","20191231","20220923","0,00"
"1940434","100","ASOCIACION CIVIL","COMITE DE AYUDA A DESASTRES Y EMERGENCIAS NACIONALES ASO CIV","20211231","20220923","0,00"
"1940467","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ORFFA ARGENTINA","20201231","20210906","25000,00"
"1940542","50","SOC. ANONIMA","NICIETRA","20201231","20220712","100000,00"
"1940542","50","SOC. ANONIMA","NICIETRA","20191231","20220712","100000,00"
"1940557","50","SOC. ANONIMA","BEKER","20200331","20220106","500000,00"
"1940597","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GADIF","20210331","20211129","25000,00"
"1940597","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GADIF","20200331","20211117","25000,00"
"1940611","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GEDREZ RECUPERO","20211231","20221128","60000,00"
"1940611","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GEDREZ RECUPERO","20201231","20221128","60000,00"
"1940627","50","SOC. ANONIMA","TRESQUINCE","20211231","20230110","30120000,00"
"1940627","50","SOC. ANONIMA","TRESQUINCE","20201231","20211116","30120000,00"
"1940627","50","SOC. ANONIMA","TRESQUINCE","20191231","20211116","30120000,00"
"1940631","50","SOC. ANONIMA","ENERSUD","20181231","20190930","22000000,00"
"1940658","50","SOC. ANONIMA","RUBEN PAPA Y ASOCIADOS","20210831","20211115","2500000,00"
"1940658","50","SOC. ANONIMA","RUBEN PAPA Y ASOCIADOS","20201231","20211028","2500000,00"
"1940658","50","SOC. ANONIMA","RUBEN PAPA Y ASOCIADOS","20191231","20211028","2500000,00"
"1940738","50","SOC. ANONIMA","IUNGAM","20211231","20220401","657646,00"
"1940738","50","SOC. ANONIMA","IUNGAM","20201231","20210423","344760,00"
"1940738","50","SOC. ANONIMA","IUNGAM","20191231","20200630","200000,00"
"1940752","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","AVANT CUASAR","20210331","20211012","50000,00"
"1940876","100","ASOCIACION CIVIL","RED DE CRIANZA","20200131","20211214","0,00"
"1940876","100","ASOCIACION CIVIL","RED DE CRIANZA","20201231","20211214","0,00"
"1940917","100","ASOCIACION CIVIL","PERSPECTIVAS DEL MOVIMIENTO CRISTIANO GLOBAL","20211231","20220927","0,00"
"1940917","100","ASOCIACION CIVIL","PERSPECTIVAS DEL MOVIMIENTO CRISTIANO GLOBAL","20201231","20211217","0,00"
"1940917","100","ASOCIACION CIVIL","PERSPECTIVAS DEL MOVIMIENTO CRISTIANO GLOBAL","20191231","20200211","0,00"
"1940987","50","SOC. ANONIMA","HEPRICAR","20211231","20220606","2090000,00"
"1940987","50","SOC. ANONIMA","HEPRICAR","20201231","20211123","2382460,00"
"1940987","50","SOC. ANONIMA","HEPRICAR","20191231","20201218","1000000,00"
"1940996","50","SOC. ANONIMA","CULTIVARTE","20200331","20211223","100000,00"
"1941050","50","SOC. ANONIMA","PRODUCTORA DE CINE COMERCIAL","20200630","20220203","100000,00"
"1941050","50","SOC. ANONIMA","PRODUCTORA DE CINE COMERCIAL","20190630","20220203","100000,00"
"1941068","100","ASOCIACION CIVIL","IGLESIA CRISTIANA DE TEOTERAPIA","20211231","20220505","0,00"
"1941068","100","ASOCIACION CIVIL","IGLESIA CRISTIANA DE TEOTERAPIA","20201231","20210907","0,00"
