"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1946369","50","SOC. ANONIMA","INNOVA CAPITAL GROUP","O","Ordinaria","","20201015","20210520"
"1946399","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","VAN HESSEN ARGENTINA","O","Ordinaria","","20211228","20221019"
"1946399","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","VAN HESSEN ARGENTINA","O","Ordinaria","","20211228","20221019"
"1946443","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","DEVICE IN TEST","O","Ordinaria","9203527","20201229","20210312"
"1946443","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","DEVICE IN TEST","O","Ordinaria","9444661","20220922","20220906"
"1946443","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","DEVICE IN TEST","O","Ordinaria","9444655","20220922","20220906"
"1946453","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","LIA AEROSPACE","O","Ordinaria","9490309","20220820","20221205"
"1946453","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","LIA AEROSPACE","O","Ordinaria","9490292","20220820","20221205"
"1946503","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BILL GROUP","O","Ordinaria","","20210813","20211027"
"1946590","110","FUNDACION","AUTOTELIA","O","Ordinaria","9401018","20210810","20220609"
"1946590","110","FUNDACION","AUTOTELIA","O","Ordinaria","9301191","20210810","20211105"
"1946592","100","ASOCIACION CIVIL","GRUPO CRE-CEN DE RECURSOS EDUC PARA PERSONAS CON DISC VISUAL","O","Ordinaria","9434649","20220520","20220816"
"1946592","100","ASOCIACION CIVIL","GRUPO CRE-CEN DE RECURSOS EDUC PARA PERSONAS CON DISC VISUAL","O","Ordinaria","9434640","20220520","20220816"
"1946593","100","ASOCIACION CIVIL","COLECTIVO SUSTENTABLE APORTANDO AL DESARRO DE PUEBLOS RURALE","O","Ordinaria","9446420","20211230","20220907"
"1946599","100","ASOCIACION CIVIL","COMPROMISO CIUDADANO PARA LA JUSTICIA SOCIAL ASOCIAC CIVIL","O","Ordinaria","9461073","20210910","20221003"
"1946599","100","ASOCIACION CIVIL","COMPROMISO CIUDADANO PARA LA JUSTICIA SOCIAL ASOCIAC CIVIL","O","Ordinaria","9461067","20210910","20221003"
"1946599","100","ASOCIACION CIVIL","COMPROMISO CIUDADANO PARA LA JUSTICIA SOCIAL ASOCIAC CIVIL","O","Ordinaria","9481426","20221020","20221114"
"1946643","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MZL SOLUTIONS","O","Ordinaria","","20201009","20210830"
"1946677","50","SOC. ANONIMA","AUTO W","O","Ordinaria","","20210302","20221028"
"1946677","50","SOC. ANONIMA","AUTO W","O","Ordinaria","","20220302","20221028"
"1946884","100","ASOCIACION CIVIL","AVAECE ASOC CIVIL DE AGENTES Y AGENCIAS DE VIAJES PYMES ARG.","O","Ordinaria","9176213","20201029","20201201"
"1946884","100","ASOCIACION CIVIL","AVAECE ASOC CIVIL DE AGENTES Y AGENCIAS DE VIAJES PYMES ARG.","O","Ordinaria","9307431","20211027","20211117"
"1946884","100","ASOCIACION CIVIL","AVAECE ASOC CIVIL DE AGENTES Y AGENCIAS DE VIAJES PYMES ARG.","O","Ordinaria","9479579","","20221111"
"1946929","100","ASOCIACION CIVIL","MI PUEBLO ACCION COMUNITARIA","O","Ordinaria","9309508","20210430","20211119"
"1946929","100","ASOCIACION CIVIL","MI PUEBLO ACCION COMUNITARIA","O","Ordinaria","9309519","","20211118"
"1946955","50","SOC. ANONIMA","UNIFORMALOS TEXTIL","O","Ordinaria","","20200727","20210927"
"1946955","50","SOC. ANONIMA","UNIFORMALOS TEXTIL","O","Ordinaria","","20210430","20210927"
"1946959","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ESTABLECIMIENTO CURUNDU","O","Ordinaria","9338012","20190318","20220114"
"1946959","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ESTABLECIMIENTO CURUNDU","O","Ordinaria","9171943","20200313","20210910"
"1946959","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ESTABLECIMIENTO CURUNDU","O","Ordinaria","9351154","20210421","20220225"
"1946959","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ESTABLECIMIENTO CURUNDU","O","Ordinaria","9482900","20220323","20221116"
"1946963","50","SOC. ANONIMA","MD SERVICES","O","Ordinaria","","20201112","20210203"
"1946963","50","SOC. ANONIMA","MD SERVICES","O","Ordinaria","","20211105","20211217"
"1946992","50","SOC. ANONIMA","GSH CAPITAL","O","Ordinaria","","20200515","20220926"
"1946992","50","SOC. ANONIMA","GSH CAPITAL","O","Ordinaria","","20210514","20220926"
"1946992","50","SOC. ANONIMA","GSH CAPITAL","O","Ordinaria","","20220516","20220926"
"1947042","50","SOC. ANONIMA","INTERENERGY INVERSIONES","O","Ordinaria","9185413","20200921","20201228"
"1947042","50","SOC. ANONIMA","INTERENERGY INVERSIONES","O","Ordinaria","9257473","20210907","20210813"
"1947042","50","SOC. ANONIMA","INTERENERGY INVERSIONES","O","Ordinaria","9436333","20220909","20220818"
"1947044","50","SOC. ANONIMA","ALTOPROFUNDO","O","Ordinaria","","20200511","20210413"
"1947044","50","SOC. ANONIMA","ALTOPROFUNDO","O","Ordinaria","","20210422","20220322"
"1947044","50","SOC. ANONIMA","ALTOPROFUNDO","O","Ordinaria","","20220513","20221006"
"1947046","50","SOC. ANONIMA","ADN AGRO","O","Ordinaria","","20200315","20201120"
"1947046","50","SOC. ANONIMA","ADN AGRO","O","Ordinaria","","20210409","20210915"
"1947122","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","HANMA","O","Ordinaria","","20210325","20210723"
"1947145","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","EMERCHANTPAY ARGENTINA","O","Ordinaria","","20201006","20211201"
"1947145","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","EMERCHANTPAY ARGENTINA","O","Ordinaria","","20210330","20211206"
"1947152","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","YOUNIVERSAL","O","Ordinaria","","20210521","20220831"
"1947197","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BUSINESS & SUSTAINABILITY","O","Ordinaria","","20200727","20230131"
"1947197","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BUSINESS & SUSTAINABILITY","O","Ordinaria","","20210721","20230201"
"1947197","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BUSINESS & SUSTAINABILITY","O","Ordinaria","","20220706","20230201"
"1947220","50","SOC. ANONIMA","CEREZAS PATAGONICAS","O","Ordinaria","","20201014","20220921"
"1947261","50","SOC. ANONIMA","TLON SPACE","O","Ordinaria","","20201010","20220119"
"1947261","50","SOC. ANONIMA","TLON SPACE","O","Ordinaria","","20210427","20220119"
"1947266","50","SOC. ANONIMA","TAP BILLETERA","O","Ordinaria","9461312","20200203","20221005"
"1947266","50","SOC. ANONIMA","TAP BILLETERA","O","Ordinaria","9318907","20211221","20211201"
"1947266","50","SOC. ANONIMA","TAP BILLETERA","O","Ordinaria","9400290","20220524","20220607"
"1947314","50","SOC. ANONIMA","CARPET","O","Ordinaria","","20200310","20220502"
"1947314","50","SOC. ANONIMA","CARPET","O","Ordinaria","","20210417","20220502"
"1947314","50","SOC. ANONIMA","CARPET","O","Ordinaria","","20220323","20220830"
"1947326","100","ASOCIACION CIVIL","CONSTRUYENDO CAMINOS","O","Ordinaria","9196234","20210303","20210209"
"1947326","100","ASOCIACION CIVIL","CONSTRUYENDO CAMINOS","O","Ordinaria","9503458","20220730","20230105"
"1947430","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","STUDY IN BA","O","Ordinaria","","20220826","20221017"
"1947430","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","STUDY IN BA","O","Ordinaria","","20220826","20221017"
"1947476","110","FUNDACION","LABORATORIOS FELIPE BAJER","O","Ordinaria","9323747","20210921","20211214"
"1947476","110","FUNDACION","LABORATORIOS FELIPE BAJER","O","Ordinaria","9323749","20211115","20211214"
"1947506","50","SOC. ANONIMA","AGROFERTIL AGROPECUARIA","O","Ordinaria","","20200825","20220915"
"1947506","50","SOC. ANONIMA","AGROFERTIL AGROPECUARIA","O","Ordinaria","","20210826","20220915"
"1947537","180","SOCIEDAD DE GARANTIA RECIPROCA","FINTECH S.G.R.","O","Ordinaria","9456039","20200415","20220923"
"1947537","180","SOCIEDAD DE GARANTIA RECIPROCA","FINTECH S.G.R.","O","Ordinaria","9373484","20201231","20220413"
"1947537","180","SOCIEDAD DE GARANTIA RECIPROCA","FINTECH S.G.R.","O","Ordinaria","9456041","20220221","20220923"
"1947650","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NARANJA DIGITAL COMPAÑIA FINANCIERA","O","Ordinaria","9447239","20200520","20220908"
"1947650","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NARANJA DIGITAL COMPAÑIA FINANCIERA","M","Mixta","9447244","20210405","20220908"
"1947650","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NARANJA DIGITAL COMPAÑIA FINANCIERA","O","Ordinaria","9447235","20220513","20220908"
"1947658","100","ASOCIACION CIVIL","INICIATIVA PARA EL DESARROLLO ARGENTINO","O","Ordinaria","9203233","20201103","20210322"
"1947712","50","SOC. ANONIMA","LI AZZURRI","O","Ordinaria","","20201221","20210505"
"1947725","100","ASOCIACION CIVIL","APLENO ASOC CIVI PARA EL PLEN DESA DE LA PERS CON DISC","O","Ordinaria","9283014","","20210929"
"1947725","100","ASOCIACION CIVIL","APLENO ASOC CIVI PARA EL PLEN DESA DE LA PERS CON DISC","O","Ordinaria","9283045","","20210929"
"1947765","50","SOC. ANONIMA","TOZZIGREEN TINOGASTA","O","Ordinaria","","20200312","20211201"
"1947765","50","SOC. ANONIMA","TOZZIGREEN TINOGASTA","O","Ordinaria","","20210430","20211201"
"1947765","50","SOC. ANONIMA","TOZZIGREEN TINOGASTA","O","Ordinaria","9414955","20220728","20220706"
"1947810","50","SOC. ANONIMA","GOLDEN GLASS","O","Ordinaria","","20200527","20220303"
"1947810","50","SOC. ANONIMA","GOLDEN GLASS","O","Ordinaria","","20210702","20220303"
"1947810","50","SOC. ANONIMA","GOLDEN GLASS","O","Ordinaria","","20220513","20220928"
"1947834","50","SOC. ANONIMA","EINSTED","O","Ordinaria","","20210128","20221129"
"1947834","50","SOC. ANONIMA","EINSTED","O","Ordinaria","","20220128","20221129"
"1947850","100","ASOCIACION CIVIL","ASOCIACION DE AMIGOS DEL TEATRO NACIONAL CERVANTES","O","Ordinaria","9489543","20220930","20221202"
"1947868","50","SOC. ANONIMA","CIELOCELESTE","O","Ordinaria","","20210309","20210520"
"1947868","50","SOC. ANONIMA","CIELOCELESTE","O","Ordinaria","","20220308","20220502"
"1947940","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MUJER FINANCIERA","O","Ordinaria","","20210520","20221215"
"1947975","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PARSII","O","Ordinaria","","20200910","20230111"
"1947975","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PARSII","O","Ordinaria","","20210318","20230111"
"1947975","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PARSII","O","Ordinaria","","20220421","20230125"
"1947988","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","LECHU","O","Ordinaria","","20210308","20220708"
"1947988","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","LECHU","O","Ordinaria","","20211018","20220803"
"1947988","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","LECHU","O","Ordinaria","","20221018","20230123"
"1948035","50","SOC. ANONIMA","ONECLEARWATER CAPITAL","O","Ordinaria","","20200508","20220215"
"1948035","50","SOC. ANONIMA","ONECLEARWATER CAPITAL","O","Ordinaria","","20210507","20220215"
"1948035","50","SOC. ANONIMA","ONECLEARWATER CAPITAL","O","Ordinaria","","20220509","20220825"
"1948036","50","SOC. ANONIMA","ADMINISTRACION INNOVAR","O","Ordinaria","","20210521","20230203"
"1948036","50","SOC. ANONIMA","ADMINISTRACION INNOVAR","O","Ordinaria","","20210521","20230203"
"1948036","50","SOC. ANONIMA","ADMINISTRACION INNOVAR","O","Ordinaria","","20220615","20230203"
"1948090","50","SOC. ANONIMA","OLYMPIA DEVELOPMENT","O","Ordinaria","","20210107","20211129"
"1948099","100","ASOCIACION CIVIL","SOCIAL Y DEPORTIVO SOLDATI FUTBOL CLUB ASOCIACION CIVIL","O","Ordinaria","9427438","20210926","20220801"
"1948099","100","ASOCIACION CIVIL","SOCIAL Y DEPORTIVO SOLDATI FUTBOL CLUB ASOCIACION CIVIL","O","Ordinaria","9427449","20210926","20220801"
"1948144","100","ASOCIACION CIVIL","CENTRO CRECER","O","Ordinaria","9245761","20210512","20210810"
"1948144","100","ASOCIACION CIVIL","CENTRO CRECER","O","Ordinaria","9499527","20220628","20221227"
"1948176","50","SOC. ANONIMA","X-WIP","O","Ordinaria","","20200821","20201202"
"1948176","50","SOC. ANONIMA","X-WIP","O","Ordinaria","","20210820","20220107"
"1948176","50","SOC. ANONIMA","X-WIP","O","Ordinaria","","20220815","20221103"
"1948185","100","ASOCIACION CIVIL","CENTRO CULTURAL TORINO ARGENTINO ASOCIACION CIVIL","O","Ordinaria","9256526","20210827","20210826"
"1948185","100","ASOCIACION CIVIL","CENTRO CULTURAL TORINO ARGENTINO ASOCIACION CIVIL","O","Ordinaria","9364197","20220420","20220329"
"1948259","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","FELISOPHY","O","Ordinaria","","20210226","20210723"
"1948259","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","FELISOPHY","O","Ordinaria","","20220225","20221205"
"1948269","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","UALINTEC INVERSIONES S.A.U SOC GER DE FOND COM DE INVER","O","Ordinaria","9212252","20210210","20210421"
"1948269","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","UALINTEC INVERSIONES S.A.U SOC GER DE FOND COM DE INVER","O","Ordinaria","9285925","20210903","20211005"
"1948269","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","UALINTEC INVERSIONES S.A.U SOC GER DE FOND COM DE INVER","O","Ordinaria","9466369","20220908","20221014"
"1948281","50","SOC. ANONIMA","INPETROL SERVICIOS","O","Ordinaria","","20210920","20220426"
"1948281","50","SOC. ANONIMA","INPETROL SERVICIOS","O","Ordinaria","","20211101","20220426"
"1948322","100","ASOCIACION CIVIL","POR EL DESARROLLO ECONOMICO Y SOCIAL","O","Ordinaria","9315932","20210402","20211201"
"1948332","100","ASOCIACION CIVIL","LAS PALMAS ASOCIACION CIVIL","O","Ordinaria","9476348","20220912","20221103"
"1948332","100","ASOCIACION CIVIL","LAS PALMAS ASOCIACION CIVIL","O","Ordinaria","9476352","20221012","20221103"
"1948342","50","SOC. ANONIMA","ORANGE ASESORES DE SEGUROS","O","Ordinaria","","20200423","20201005"
"1948342","50","SOC. ANONIMA","ORANGE ASESORES DE SEGUROS","O","Ordinaria","","20210428","20211201"
"1948342","50","SOC. ANONIMA","ORANGE ASESORES DE SEGUROS","O","Ordinaria","","20220429","20221005"
"1948351","50","SOC. ANONIMA","NUEVA GENERACION DE MINERALES","O","Ordinaria","","20201218","20221229"
"1948351","50","SOC. ANONIMA","NUEVA GENERACION DE MINERALES","O","Ordinaria","","20210526","20221229"
"1948351","50","SOC. ANONIMA","NUEVA GENERACION DE MINERALES","O","Ordinaria","","20220526","20221229"
"1948353","50","SOC. ANONIMA","MAREL ARGENTINA","O","Ordinaria","","20200226","20210805"
"1948353","50","SOC. ANONIMA","MAREL ARGENTINA","O","Ordinaria","","20210521","20211124"
"1948353","50","SOC. ANONIMA","MAREL ARGENTINA","O","Ordinaria","","20220323","20230111"
"1948380","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CANADIAN SOLAR OPERATION AND MAINTENANCE SERVICES ARGENTINA","O","Ordinaria","9171728","20201126","20201106"
"1948380","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CANADIAN SOLAR OPERATION AND MAINTENANCE SERVICES ARGENTINA","O","Ordinaria","9445238","20210604","20220907"
"1948380","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CANADIAN SOLAR OPERATION AND MAINTENANCE SERVICES ARGENTINA","O","Ordinaria","9486267","20220429","20221125"
"1948385","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","BEAT APP","O","Ordinaria","9189632","20200804","20210114"
"1948385","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","BEAT APP","O","Ordinaria","9248734","20210315","20210810"
"1948398","100","ASOCIACION CIVIL","FORO ANALITICO DEL RIO DE LA PLATA ASOCIACION CIVIL","O","Ordinaria","9317577","20211213","20211202"
"1948398","100","ASOCIACION CIVIL","FORO ANALITICO DEL RIO DE LA PLATA ASOCIACION CIVIL","O","Ordinaria","9473671","20221031","20221031"
"1948401","110","FUNDACION","LUGAR POR LA EDUCACION ARGENTINA","O","Ordinaria","9481513","20220318","20221114"
"1948417","50","SOC. ANONIMA","CONECTAR VERDE","O","Ordinaria","","20210802","20220325"
"1948417","50","SOC. ANONIMA","CONECTAR VERDE","O","Ordinaria","","20210802","20220325"
"1948417","50","SOC. ANONIMA","CONECTAR VERDE","E","Extraordinaria","","20220215","20221104"
"1948448","100","ASOCIACION CIVIL","ANIMARTE","O","Ordinaria","9241986","20210416","20210730"
"1948448","100","ASOCIACION CIVIL","ANIMARTE","O","Ordinaria","9398627","20220627","20220606"
"1948520","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","IMO-AR","O","Ordinaria","","20200911","20221128"
"1948520","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","IMO-AR","O","Ordinaria","","20210930","20221122"
"1948520","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","IMO-AR","O","Ordinaria","","20220808","20221122"
"1948537","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","MELIQUINA DESARROLLOS","O","Ordinaria","","20210528","20211018"
"1948562","50","SOC. ANONIMA","BOZENLAB","O","Ordinaria","","20200225","20211027"
"1948562","50","SOC. ANONIMA","BOZENLAB","O","Ordinaria","","20210225","20211027"
"1948562","50","SOC. ANONIMA","BOZENLAB","O","Ordinaria","","20220225","20220812"
"1948773","100","ASOCIACION CIVIL","MUSICA EN EL AIRE","O","Ordinaria","9185906","20200702","20201228"
"1948773","100","ASOCIACION CIVIL","MUSICA EN EL AIRE","O","Ordinaria","9339726","20211006","20220207"
"1948773","100","ASOCIACION CIVIL","MUSICA EN EL AIRE","O","Ordinaria","9432026","20220428","20220810"
"1948775","100","ASOCIACION CIVIL","CEDTI-CENTRO ESPECIALIZADO EN EL DESARROLLO TEMPRANO INFANTI","O","Ordinaria","9432363","20220427","20220810"
"1948775","100","ASOCIACION CIVIL","CEDTI-CENTRO ESPECIALIZADO EN EL DESARROLLO TEMPRANO INFANTI","O","Ordinaria","9432360","20220427","20220810"
"1948775","100","ASOCIACION CIVIL","CEDTI-CENTRO ESPECIALIZADO EN EL DESARROLLO TEMPRANO INFANTI","O","Ordinaria","9432356","20220427","20220810"
"1948886","50","SOC. ANONIMA","SCHAFFHAUSEN","O","Ordinaria","","20201104","20220105"
"1948886","50","SOC. ANONIMA","SCHAFFHAUSEN","O","Ordinaria","","20211106","20220830"
"1948896","50","SOC. ANONIMA","DEER TECNOLOGY","O","Ordinaria","","20210129","20210325"
"1948909","50","SOC. ANONIMA","GREEN SALUD","O","Ordinaria","","20200309","20200717"
"1948909","50","SOC. ANONIMA","GREEN SALUD","O","Ordinaria","","20211209","20220208"
"1948909","50","SOC. ANONIMA","GREEN SALUD","O","Ordinaria","","20220411","20220614"
"1948930","50","SOC. ANONIMA","SERVICIOS URBANOS GESTION","O","Ordinaria","","20201221","20221116"
"1948930","50","SOC. ANONIMA","SERVICIOS URBANOS GESTION","O","Ordinaria","","20211217","20221116"
"1948939","110","FUNDACION","ARCANGEL MIGUEL POR JUSTICIA IGUALDAD Y SOLIDARIDAD","O","Ordinaria","9247138","20210602","20210811"
"1948939","110","FUNDACION","ARCANGEL MIGUEL POR JUSTICIA IGUALDAD Y SOLIDARIDAD","O","Ordinaria","9458266","20220704","20220928"
"1948960","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NORWEGIAN AIR RESOURCES AR","O","Ordinaria","9225507","20200429","20210520"
"1948960","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","NORWEGIAN AIR RESOURCES AR","O","Ordinaria","9293080","20210715","20211018"
"1948967","50","SOC. ANONIMA","ACAULA","O","Ordinaria","","20200320","20220915"
"1948967","50","SOC. ANONIMA","ACAULA","O","Ordinaria","","20210320","20220915"
"1948967","50","SOC. ANONIMA","ACAULA","O","Ordinaria","","20220320","20220915"
"1948997","50","SOC. ANONIMA","DEVERYWARE LATAM","O","Ordinaria","","20200619","20220729"
"1948997","50","SOC. ANONIMA","DEVERYWARE LATAM","O","Ordinaria","","20210521","20220729"
"1949018","50","SOC. ANONIMA","UN ROBLE","O","Ordinaria","","20200626","20210823"
"1949018","50","SOC. ANONIMA","UN ROBLE","O","Ordinaria","","20210528","20211020"
"1949018","50","SOC. ANONIMA","UN ROBLE","O","Ordinaria","","20220517","20220927"
"1949097","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","YESO LUX","O","Ordinaria","","20220826","20230113"
"1949117","50","SOC. ANONIMA","ECO MISSION","O","Ordinaria","","20210804","20221115"
"1949117","50","SOC. ANONIMA","ECO MISSION","O","Ordinaria","","20211104","20221115"
"1949117","50","SOC. ANONIMA","ECO MISSION","O","Ordinaria","","20220909","20221115"
"1949270","50","SOC. ANONIMA","ENERGIAS RENOVABLES DE LA FINCA","O","Ordinaria","","20200203","20211126"
"1949270","50","SOC. ANONIMA","ENERGIAS RENOVABLES DE LA FINCA","O","Ordinaria","","20210125","20211126"
"1949272","50","SOC. ANONIMA","ENERGIAS RENOVABLES DEL REFUGIO","O","Ordinaria","","20200203","20211126"
"1949272","50","SOC. ANONIMA","ENERGIAS RENOVABLES DEL REFUGIO","O","Ordinaria","","20210125","20211126"
"1949273","50","SOC. ANONIMA","ENERGIAS RENOVABLES LAGUNA","O","Ordinaria","","20200203","20211126"
"1949273","50","SOC. ANONIMA","ENERGIAS RENOVABLES LAGUNA","O","Ordinaria","","20210126","20211201"
"1949277","50","SOC. ANONIMA","ENERGIAS RENOVABLES DEL SOSIEGO","O","Ordinaria","","20200203","20220127"
"1949277","50","SOC. ANONIMA","ENERGIAS RENOVABLES DEL SOSIEGO","O","Ordinaria","","20210125","20220127"
"1949283","50","SOC. ANONIMA","ENERGIAS RENOVABLES BUEN RUMBO","O","Ordinaria","","20200203","20211117"
"1949283","50","SOC. ANONIMA","ENERGIAS RENOVABLES BUEN RUMBO","O","Ordinaria","","20210125","20211117"
"1949362","110","FUNDACION","CAMBIAR ES POSIBLE. PR DE DE RE DE EC IN IN EQ GE LA (CEPLA)","O","Ordinaria","9226883","20210505","20210603"
"1949362","110","FUNDACION","CAMBIAR ES POSIBLE. PR DE DE RE DE EC IN IN EQ GE LA (CEPLA)","O","Ordinaria","9226886","20210505","20210603"
"1949415","50","SOC. ANONIMA","W&W CONSULTING","O","Ordinaria","","20210116","20210323"
"1949415","50","SOC. ANONIMA","W&W CONSULTING","O","Ordinaria","","20220118","20220407"
"1949489","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ESTIVALES","O","Ordinaria","","20200910","20221101"
"1949522","50","SOC. ANONIMA","EBS","O","Ordinaria","","20200306","20210702"
"1949591","50","SOC. ANONIMA","PBDAR","O","Ordinaria","","20200512","20210203"
"1949591","50","SOC. ANONIMA","PBDAR","O","Ordinaria","","20210430","20220224"
"1949809","50","SOC. ANONIMA","SUDAMET AUTOMOTRIZ","O","Ordinaria","","20210430","20210908"
"1949830","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CONTEXTLOGIC ARGENTINA","O","Ordinaria","9302684","20201117","20211102"
"1949830","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CONTEXTLOGIC ARGENTINA","O","Ordinaria","9342390","20210430","20220221"
"1949830","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CONTEXTLOGIC ARGENTINA","O","Ordinaria","9412976","20220801","20220705"
"1949858","50","SOC. ANONIMA","GATALEMA","O","Ordinaria","","20211015","20220407"
"1949869","50","SOC. ANONIMA","LA EMILITA","O","Ordinaria","","20200130","20220125"
"1949869","50","SOC. ANONIMA","LA EMILITA","O","Ordinaria","","20210126","20220502"
"1949870","50","SOC. ANONIMA","LA TEODELINA","O","Ordinaria","","20200129","20211101"
"1949870","50","SOC. ANONIMA","LA TEODELINA","O","Ordinaria","","20210127","20211109"
"1949871","50","SOC. ANONIMA","RANAS","O","Ordinaria","","20200128","20211101"
"1949871","50","SOC. ANONIMA","RANAS","O","Ordinaria","","20210129","20211115"
"1949911","50","SOC. ANONIMA","ANAÑU","O","Ordinaria","","20211015","20220407"
"1949920","50","SOC. ANONIMA","PATASANTA","O","Ordinaria","","20211015","20221108"
"1950035","110","FUNDACION","KUNAYAN","O","Ordinaria","9481827","20210420","20221115"
"1950035","110","FUNDACION","KUNAYAN","O","Ordinaria","9495669","20220429","20221216"
"1950055","110","FUNDACION","VI.DI.TEA- VIDA DIGNA PARA PERSON CON TRASTOR DEL ESPE AUTIS","O","Ordinaria","9416364","20220429","20220707"
"1950058","100","ASOCIACION CIVIL","OPEIR (OBSER DEL PENSA ESTRA PARA LA INTEG REGIO)","O","Ordinaria","9207361","20210320","20210405"
"1950114","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","BTG PACTUAL ARGENTINA","O","Ordinaria","9340066","20210430","20220207"
"1950114","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","BTG PACTUAL ARGENTINA","O","Ordinaria","9409293","","20220624"
"1950191","50","SOC. ANONIMA","RIDER COMUNICATION","O","Ordinaria","","20200430","20200630"
"1950191","50","SOC. ANONIMA","RIDER COMUNICATION","O","Ordinaria","","20210429","20211119"
"1950191","50","SOC. ANONIMA","RIDER COMUNICATION","O","Ordinaria","","20220426","20220517"
"1950229","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","HANDBIT","O","Ordinaria","","20210412","20220112"
"1950229","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","HANDBIT","O","Ordinaria","","20220411","20220823"
"1950316","52","SOCIEDAD POR ACCIONES SIMPLIFICADA"," KULKAN","O","Ordinaria","","20210303","20220624"
"1950316","52","SOCIEDAD POR ACCIONES SIMPLIFICADA"," KULKAN","O","Ordinaria","","20210511","20220614"
"1950572","50","SOC. ANONIMA","COBRANZAS REGIONALES","O","Ordinaria","9177387","20200520","20201202"
"1950572","50","SOC. ANONIMA","COBRANZAS REGIONALES","M","Mixta","9492911","20210331","20221214"
"1950572","50","SOC. ANONIMA","COBRANZAS REGIONALES","O","Ordinaria","9492908","20220509","20221214"
"1950613","100","ASOCIACION CIVIL","MINISTERIO CRISTIANO TU REFUGIO ASOCIACION CIVIL","O","Ordinaria","9416640","20220430","20220708"
"1950613","100","ASOCIACION CIVIL","MINISTERIO CRISTIANO TU REFUGIO ASOCIACION CIVIL","O","Ordinaria","9492926","","20221212"
"1950635","100","ASOCIACION CIVIL","CENTRO DE ESTUDIO,AMBIENTE,SOCIEDAD Y ENERGIA (CEASE)","O","Ordinaria","9411106","20210707","20220630"
"1950643","50","SOC. ANONIMA","FRAMAR EVOLUCION","O","Ordinaria","","20210403","20230109"
