"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1943494","50","SOC. ANONIMA","SPARK ENERGY SOLUTIONS","O","Ordinaria","","20220628","20220915"
"1943506","100","ASOCIACION CIVIL","MUSEO BARRIO DE FLORES ASOCIACION CIVIL","O","Ordinaria","9455160","20220418","20220922"
"1943506","100","ASOCIACION CIVIL","MUSEO BARRIO DE FLORES ASOCIACION CIVIL","O","Ordinaria","9455156","20220418","20220922"
"1943506","100","ASOCIACION CIVIL","MUSEO BARRIO DE FLORES ASOCIACION CIVIL","O","Ordinaria","9461499","","20221004"
"1943519","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","PAMPA HEMP","O","Ordinaria","","20210430","20210722"
"1943580","100","ASOCIACION CIVIL","FEMINACIDA ASOCIACION CIVIL","O","Ordinaria","9238854","20210704","20210727"
"1943580","100","ASOCIACION CIVIL","FEMINACIDA ASOCIACION CIVIL","O","Ordinaria","9238857","20210704","20210727"
"1943580","100","ASOCIACION CIVIL","FEMINACIDA ASOCIACION CIVIL","O","Ordinaria","9417217","20220726","20220711"
"1943639","50","SOC. ANONIMA","LCB","O","Ordinaria","","20200511","20220804"
"1943651","50","SOC. ANONIMA","DETROIT MODE","O","Ordinaria","","20191227","20200221"
"1943651","50","SOC. ANONIMA","DETROIT MODE","O","Ordinaria","","20210106","20210429"
"1943651","50","SOC. ANONIMA","DETROIT MODE","O","Ordinaria","","20220105","20220329"
"1943653","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","DSS SUSTAINABLE SOLUTIONS ARGENTINA","O","Ordinaria","9341956","20210921","20220221"
"1943676","100","ASOCIACION CIVIL","FUERZA MUJERES PARA LA REINS Y DESARROLLO LAB, PERS Y ECONOM","O","Ordinaria","9314960","20210628","20211201"
"1943676","100","ASOCIACION CIVIL","FUERZA MUJERES PARA LA REINS Y DESARROLLO LAB, PERS Y ECONOM","O","Ordinaria","9309272","20210628","20211129"
"1943729","50","SOC. ANONIMA","FLEXILOG","O","Ordinaria","","20200821","20210416"
"1943729","50","SOC. ANONIMA","FLEXILOG","O","Ordinaria","","20210811","20221017"
"1943743","50","SOC. ANONIMA","FITECHNOLOGY","O","Ordinaria","","20200527","20220913"
"1943743","50","SOC. ANONIMA","FITECHNOLOGY","O","Ordinaria","","20210430","20220913"
"1943743","50","SOC. ANONIMA","FITECHNOLOGY","O","Ordinaria","","20220429","20220913"
"1943760","100","ASOCIACION CIVIL","VIVIR UN SUE¥O","O","Ordinaria","9417241","20210927","20220711"
"1943760","100","ASOCIACION CIVIL","VIVIR UN SUE¥O","O","Ordinaria","9417238","20220606","20220711"
"1943823","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","PHA","O","Ordinaria","9203250","20200422","20210318"
"1943909","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","OHM INSTRUMENTAL","O","Ordinaria","","20200825","20210729"
"1943909","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","OHM INSTRUMENTAL","O","Ordinaria","","20211025","20221205"
"1943918","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BEAR MOUNTAIN","O","Ordinaria","","20210630","20220207"
"1943918","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BEAR MOUNTAIN","O","Ordinaria","","20220606","20230111"
"1943920","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","IMPORTACI¿N ABRAX","O","Ordinaria","","20201117","20220315"
"1944021","50","SOC. ANONIMA","GUIA D","O","Ordinaria","","20210402","20220622"
"1944021","50","SOC. ANONIMA","GUIA D","O","Ordinaria","","20210402","20220622"
"1944021","50","SOC. ANONIMA","GUIA D","O","Ordinaria","","20220513","20220622"
"1944028","50","SOC. ANONIMA","OTC INVESTMENT SOLUTIONS","O","Ordinaria","","20210406","20221228"
"1944040","100","ASOCIACION CIVIL","ASOCIACION ARGENTINA DE PERCUSION ASOCIACION CIVIL","O","Ordinaria","9262947","20210128","20210907"
"1944045","50","SOC. ANONIMA","TRUGYNAR","O","Ordinaria","","20190426","20200316"
